"term_id","name","slug"
"220","доступ до публічної інформації","dostup-do-publichnoyi-informatsiyi"
"221","запит","zapit"
"222","підсумки року","pidsumki-roku"
"223","баришівка","barishivka"
"224","березань","berezan"
"225","демократичний альянс","demokratichniy-alyans"
"226","партія","partiya"
"227","фінансування","finansuvannya"
"228","золотарьов","zolotarov"
"229","5 канал","5-kanal"
"230","приколи","prikoli"
"231","меми","memi"
"232","демотиватори","demotivatori"
"233","качний","kachniy"
"234","забудова","zabudova"
"235","кирпоноса","kirponosa"
"236","позов","pozov"
"237","земля","zemlya"
"238","чиновники","chinovniki"
"239","ділянки","dilyanki"
"240","Світильня","svitilnya"
"241","головенко","golovenko"
"242","гордієнко","gordiyenko"
"243","""Брама""","brama"
"244","журналістська етика","zhurnalistska-etika"
"246","день читача","den-chitacha"
"247","обіцянки","obitsyanki"
"248","дитячий майданчик","dityachiy-maydanchik"
"249","віталій запорожець","vitaliy-zaporozhets"
"250","во свобода","vo-svoboda"
"251","програма","programa"
"252","інфографіка","infografika"
"253","сутички","sutichki"
"254","архів","arhiv"
"255","Мова","mova"
"256","9073","9073"
"257","законопроект","zakonoproekt"
"258","розклейка","rozkleyka"
"259","інформування","informuvannya"
"260","протест","protest"
"261","Київ","kiyiv"
"262","ВР","vr"
"263","квадрацикли","kvadratsikli"
"264","книжки","knizhki"
"265","журналісти","zhurnalisti"
"266","підпал","pidpal"
"267","мирне зібрання","mirne-zibrannya"
"268","кличко","klichko"
"269","заборона","zaborona"
"270","мирні зібрання","mirni-zibrannya"
"271","юлія шпак","yuliya-shpak"
"272","вісник києва","visnik-kiyeva"
"273","пожежники","pozhezhniki"
"274","недопуск журналістів","nedopusk-zhurnalistiv"
"276","день журналіста","den-zhurnalista"
"277","влада","vlada"
"278","опозиція","opozitsiya"
"279","кмда","kmda"
"280","київпастранс","kiyivpastrans"
"281","конкурс","konkurs"
"282","благоустрій","blagoustriy"
"283","ЖЕКи","zheki"
"284","тероризм","terorizm"
"285","теракт","terakt"
"286","колапс","kolaps"
"287","техногенна катастрофа","tehnogenna-katastrofa"
"288","євро","yevro"
"289","євро 2012","yevro-2012"
"290","фан-зона","fan-zona"
"291","бєлік","byelik"
"292","меркурій","merkuriy"
"293","забудовник","zabudovnik"
"294","автобіографії депутатів","avtobiografiyi-deputativ"
"295","депутати","deputati"
"296","відкритість","vidkritist"
"297","гласність","glasnist"
"298","українська мова","ukrayinska-mova"
"299","овдієнко","ovdiyenko"
"300","товариство української мови","tovaristvo-ukrayinskoyi-movi"
"301","правоохонці","pravoohontsi"
"302","хуліганство","huliganstvo"
"303","футбол","futbol"
"304","центр прагнення","tsentr-pragnennya"
"305","рокфорд","rokford"
"306","міста-побратими","mista-pobratimi"
"307","телепенько","telepenko"
"308","прилєпко","prilyepko"
"309","скочко","skochko"
"310","ковшун","kovshun"
"312","тріолан","triolan"
"313","комунальна техніка","komunalna-tehnika"
"316","відеозйомка","videozyomka"
"317","пленарне засідання","plenarne-zasidannya"
"318","лагрітос","lagritos"
"319","доступ до генплану","dostup-do-genplanu"
"320","провайдери","provayderi"
"321","семенюк","semenyuk"
"322","кузнецов","kuznetsov"
"323","наклеп","naklep"
"324","серпокрилова","serpokrilova"
"325","афера","afera"
"326","каширіна","kashirina"
"327","княжицька","knyazhitska"
"328","олена новак","olena-novak"
"329","гурт","gurt"
"330","польща","polshha"
"331","родина","rodina"
"332","Польське культурно-освітнє товариство","polske-kulturno-osvitnye-tovaristvo"
"333","порушення","porushennya"
"334","споживач","spozhivach"
"335","права споживача","prava-spozhivacha"
"336","споживач має право","spozhivach-maye-pravo"
"337","страйк","strayk"
"339","рейдерство","reyderstvo"
"340","візит","vizit"
"341","план територій","plan-teritoriy"
"342","обговорення","obgovorennya"
"343","батут","batut"
"344","експертиза товару","ekspertiza-tovaru"
"345","недолік товару","nedolik-tovaru"
"346","покупець","pokupets"
"347","продавець","prodavets"
"348","захист прав споживача","zahist-prav-spozhivacha"
"349","плавання","plavannya"
"350","меценатство","metsenatstvo"
"351","сша","ssha"
"352","подорож","podorozh"
"353","навчання","navchannya"
"354","затримані","zatrimani"
"355","вирок","virok"
"356","парковки","parkovki"
"357","правила паркування","pravila-parkuvannya"
"358","короленка","korolenka"
"359","возз'єднання","vozzyednannya"
"360","ринок ""Нива""","rinok-niva"
"361","хартанович","hartanovich"
"362","парк перемога","park-peremoga"
"363","симоненко","simonenko"
"364","день конституції","den-konstitutsiyi"
"365","саботаж","sabotazh"
"366","чорний піар","chorniy-piar"
"367","брудні технології","brudni-tehnologiyi"
"368","псевдоплакати","psevdoplakati"
"369","зона брехні","zona-brehni"
"370","перешкоджання","pereshkodzhannya"
"371","розбитий товар","rozbitiy-tovar"
"372","каширіна 15","kashirina-15"
"373","будівельна афера","budivelna-afera"
"374","ігор серпокрилов","igor-serpokrilov"
"375","інтер","inter"
"376","тб","tb"
"377","оборудки","oborudki"
"378","дутчак","dutchak"
"379","гарантійний термін","garantiyniy-termin"
"380","заміна товару","zamina-tovaru"
"381","термін виявлення недоліків","termin-viyavlennya-nedolikiv"
"382","закритість","zakritist"
"383","комунальні ЗМІ","komunalni-zmi"
"384","міська влада","miska-vlada"
"385","недоречності","nedorechnosti"
"386","правила дорожнього руху","pravila-dorozhnogo-ruhu"
"387","виборці","vibortsi"
"388","реєстр","reyestr"
"390","гацько","gatsko"
"391","нотаріус","notarius"
"392","зустріч з мешканцями","zustrich-z-meshkantsyami"
"393","кірова","kirova"
"394","площа шевченка","ploshha-shevchenka"
"395","розвилка","rozvilka"
"396","олег іваненко","oleg-ivanenko"
"397","усдп","usdp"
"398","шахрайство","shahraystvo"
"399","анонси","announce-2"
"400","нова рубрика","nova-rubrika"
"401","дільничні інспектори","dilnichni-inspektori"
"402","товар","tovar"
"403","повернення коштів","povernennya-koshtiv"
"404","обмін товару","obmin-tovaru"
"405","гайворонський","gayvoronskiy"
"406","тушки","tushki"
"407","електронна пошта","elektronna-poshta"
"408","вибори 2012","vibori-2012"
"409","кандидат у народні депутати","kandidat-u-narodni-deputati"
"410","висування кандидатів","visuvannya-kandidativ"
"411","анонс","anons"
"412","укртелеком","ukrtelekom"
"413","чорнуха","chornuha"
"414","приклад запиту","priklad-zapitu"
"415","авансовий платіж","avansoviy-platizh"
"416","аванс","avans"
"417","рішення ради","rishennya-radi"
"418","примусовий викуп","primusoviy-vikup"
"419","викуп для суспільних потреб","vikup-dlya-suspilnih-potreb"
"420","шолох-алейхема","sholoh-aleyhema"
"421","юрій нестеренко","yuriy-nesterenko"
"422","стеження","stezhennya"
"423","шпигуни","shpiguni"
"424","незаконна забудова","nezakonna-zabudova"
"425","Гоголя","gogolya"
"426","Шолом-Алейхема","sholom-aleyhema"
"427","Грушевського","grushevskogo"
"428","кран","kran"
"429","ділянка","dilyanka"
"430","Чередник","cherednik"
"431","Овсієнко","ovsiyenko"
"432","збори громадян","zbori-gromadyan"
"433","захист прав споживачів","zahist-prav-spozhivachiv"
"434","наступ","nastup"
"435","об'єднана опозиція","obyednana-opozitsiya"
"436","арт-перформанс","art-performans"
"437","наголос","nagolos"
"438","тиск влади","tisk-vladi"
"439","листівка","listivka"
"441","немчина","nemchina"
"442","малий та середній бізнес","maliy-ta-seredniy-biznes"
"443","достовірна та повна інформація","dostovirna-ta-povna-informatsiya"
"444","мотоцикл","mototsikl"
"445","держзакупівлі","derzhzakupivli"
"446","фірма ГФ","firma-gf"
"447","наші гроші","nashi-groshi"
"448","намети","nameti"
"449","назви вулиць","nazvi-vulits"
"450","Про засади державної мовної політики","pro-zasadi-derzhavnoyi-movnoyi-politiki"
"451","конгрес українських націоналістів","kongres-ukrayinskih-natsionalistiv"
"452","праймеріз","praymeriz"
"453","музей","muzey"
"454","лежачі поліцейські","lezhachi-politseski"
"455","бюджет","byudzhet"
"456","примусове гальмування","primusove-galmuvannya"
"457","семеняка","semenyaka"
"458","ярошенко","yaroshenko"
"459","самовисування","samovisuvannya"
"460","шапран","shapran"
"461","галицький","galitskiy"
"462","крупа","krupa"
"463","єрухимович","yeruhimovich"
"464","аскєров","askyerov"
"465","управління економіки","upravlinnya-ekonomiki"
"466","мельник","melnik"
"467","бакал","bakal"
"468","БЦРЛ","btsrl"
"469","халатність","halatnist"
"470","кругова порука","krugova-poruka"
"471","лікарі","likari"
"472","лікарня","likarnya"
"473","аноніми","anonimi"
"474","клони","kloni"
"475","боти","boti"
"476","супрун","suprun"
"477","мотрич","motrich"
"478","цвк","tsvk"
"479","розсилка новин","rozsilka-novin"
"480","підписка","pidpiska"
"481","читачі","chitachi"
"482","хостинг","hosting"
"483","аналітика","analitika"
"484","кузик","kuzik"
"485","нужненко","nuzhnenko"
"486","синько","sinko"
"487","жеребц","zherebts"
"488","сачавський","sachavskiy"
"489","велем","velem"
"490","сімут","simut"
"491","чаюн","chayun"
"492","люк","lyuk"
"493","люки","lyuki"
"494","небезпека","nebezpeka"
"495","травматизм","travmatizm"
"496","будівництво","budivnitstvo"
"497","недбальство","nedbalstvo"
"498","василенко","vasilenko"
"499","базір","bazir"
"500","говоруха","govoruha"
"501","дякевич","dyakevich"
"502","рокоман","rokoman"
"503","остапенко","ostapenko"
"504","діденко","didenko"
"505","хостинг україна","hosting-ukrayina"
"506","сервер","server"
"507","корупція","koruptsiya"
"508","велика димерка","velika-dimerka"
"509","фото","foto"
"510","сміття","smittya"
"511","ірина федорів","irina-fedoriv"
"512","передвиборча програма","peredviborcha-programa"
"513","пропозиції","propozitsiyi"
"514","ветерани","veterani"
"515","агітація","agitatsiya"
"516","пленум ветеранів","plenum-veteraniv"
"517","нова енергія т","nova-energiya-t"
"518","тец","tets"
"519","електростанція","elektrostantsiya"
"520","протокол","protokol"
"521","майдан моніторинг","maydan-monitoring"
"522","Калюжі","kalyuzhi"
"523","злива","zliva"
"524","дощ","doshh"
"525","намокнути","namoknuti"
"526","каналізація","kanalizatsiya"
"527","проектування","proektuvannya"
"528","тротуари","trotuari"
"529","доріжки","dorizhki"
"530","потоп","potop"
"531","мокрець","mokrets"
"532","рибачук","ribachuk"
"533","петров","petrov"
"534","юрченко","yurchenko"
"535","розуменко","rozumenko"
"536","реєстрація кандидатів","reyestratsiya-kandidativ"
"537","округ 97","okrug-97"
"538","кандидати","kandidati"
"539","технічні кандидати","tehnichni-kandidati"
"540","технічний кандидат","tehnichniy-kandidat"
"541","Життя країни","zhittya-krayini"
"542","ришко","rishko"
"543","куліченко","kulichenko"
"544","коробчинський","korobchinskiy"
"545","конституція","konstitutsiya"
"551","зустріч з виборцями","zustrich-z-vibortsyami"
"552","моніторинг","monitoring"
"553","яценюк","yatsenyuk"
"554","відкритий лист","vidkritiy-list"
"555","виключення з партії","viklyuchennya-z-partiyi"
"556","Помста за розкол країни","pomsta-za-rozkol-krayini"
"557","Помста","pomsta"
"558","ПР","pr"
"559","проти","proti"
"560","день незалежності","den-nezalezhnosti"
"561","свято","svyato"
"562","окружна виборча комісія","okruzhna-viborcha-komisiya"
"563","овк","ovk"
"564","братство","bratstvo"
"565","літопис краю","litopis-krayu"
"566","лівобережна київщина","livoberezhna-kiyivshhina"
"567","фонд розвитку громад","fond-rozvitku-gromad"
"568","дністровий","dnistroviy"
"569","публічні лекції","publichni-lektsiyi"
"570","мобі","mobi"
"571","97","97"
"572","ковбаса","kovbasa"
"573","кампанія","kampaniya"
"574","Шако","shako"
"575","Амністія","amnistiya"
"576","кримінальний клан","kriminalniy-klan"
"578","сіданіч","sidanich"
"579","віктор капшук","viktor-kapshuk"
"580","громадський університет","gromadskiy-universitet"
"581","капшук","kapshuk"
"582","єдиний кандидат","yediniy-kandidat"
"583","заміни в овк","zamini-v-ovk"
"584","грицай","gritsay"
"585","щербакова","shherbakova"
"586","грень","gren"
"587","мацанюк","matsanyuk"
"588","жеребцов","zherebtsov"
"589","Олег Шевчук","oleg-shevchuk"
"590","микола коханівський","mikola-kohanivskiy"
"591","2450","2450"
"592","суддя","suddya"
"593","Brovary Challenge","brovary-challenge"
"594","зацарний","zatsarniy"
"595","алергія","alergiya"
"596","амброзія","ambroziya"
"597","Смірнов","smirnov"
"598","басейн","baseyn"
"599","Майдан Свободи","maydan-svobodi"
"600","заплив по бетону","zapliv-po-betonu"
"601","ситєнков","sityenkov"
"602","Страта судді","strata-suddi"
"603","Лопатинська","lopatinska"
"604","Пошкурлат","poshkurlat"
"605","Чех","cheh"
"606","КУпАП","kupap"
"607","час київщини","chas-kiyivshhini"
"608","КДРТ","kdrt"
"609","твк","tvk"
"610","будівництво дитячого кафе","budivnitstvo-dityachogo-kafe"
"612","ТОВ ""ЖЕК-40""","tov-zhek-40"
"613","засідання","zasidannya"
"614","колегіальний орган","kolegialniy-organ"
"615","шевченко 4А","shevchenko-4a"
"616","соціологія","sotsiologiya"
"617","соціополіс","sotsiopolis"
"618","земельні питання","zemelni-pitannya"
"619","заміна","zamina"
"620","склад овк","sklad-ovk"
"621","парфьонова","parfonova"
"622","агітацій","agitatsiy"
"623","бондарєв","bondaryev"
"624","депутат","deputat"
"625","жеребкування","zherebkuvannya"
"626","засідання овк","zasidannya-ovk"
"627","апеляція","apelyatsiya"
"628","щерба","shherba"
"629","сазикін","sazikin"
"630","бенюк","benyuk"
"631","ситєнков-підрахуй","sityenkov-pidrahuy"
"632","голова овк","golova-ovk"
"633","сємєрєй","syemyeryey"
"634","волошин","voloshin"
"636","ДВК","dvk"
"637","смірнова","smirnova"
"638","дитяча лікарня","dityacha-likarnya"
"639","аналізи","analizi"
"640","поліклініка","poliklinika"
"641","презентація книги","prezentatsiya-knigi"
"642","кіпіані","kipiani"
"643","чому грузії вдалося","chomu-gruziyi-vdalosya"
"644","клименко","klimenko"
"645","тафій","tafiy"
"646","заміни в двк","zamini-v-dvk"
"647","гречка","grechka"
"648","фестиваль гречки","festival-grechki"
"650","монте карло","monte-karlo"
"651","гуцол","gutsol"
"652","берізка","berizka"
"653","обмеження","obmezhennya"
"654","склад двк","sklad-dvk"
"655","кву","kvu"
"656","спостерігачі","sposterigachi"
"657","Вахтанг Кіпіані","vahtang-kipiani"
"658","книга","kniga"
"659","презентація","prezentatsiya"
"660","досвід","dosvid"
"661","круглий стіл","krugliy-stil"
"662","пішоходи","pishohodi"
"663","перформанс","performans"
"664","фальсифікації","falsifikatsiyi"
"665","магістральні вулиці","magistralni-vulitsi"
"666","батюк","batyuk"
"667","романчук","romanchuk"
"668","комітет визволення політв'язнів","komitet-vizvolennya-politvyazniv"
"669","козацтво","kozatstvo"
"670","Бравопорт","bravoport"
"671","Гороховський","gorohovskiy"
"672","комітет протидії фальсифікаціям","komitet-protidiyi-falsifikatsiyam"
"673","олександр волоха","oleksandr-voloha"
"675","скликання сесії","sklikannya-sesiyi"
"676","демонтаж наметів","demontazh-nametiv"
"677","опалько","opalko"
"678","бойко","boyko"
"679","мащенко","mashhenko"
"680","чорний список","chorniy-spisok"
"681","ефір","efir"
"682","київська","kiyivska"
"683","зняття з реєстрації","znyattya-z-reyestratsiyi"
"684","маршрутка","marshrutka"
"685","нове життя","nove-zhittya"
"686","рейтинги","reytingi"
"687","слизюк","slizyuk"
"688","державний реєстр виборців","derzhavniy-reyestr-vibortsiv"
"689","Прометей","prometey"
"690","во батьківщина","vo-batkivshhina"
"691","кібервійна","kiberviyna"
"692","присяжнюк","prisyazhnyuk"
"693","декларація","deklaratsiya"
"694","TNS","tns"
"695","GFK","gfk"
"696","SOCIS","socis"
"697","екзіт-пол","ekzit-pol"
"698","реформи","reformi"
"699","відсіч","vidsich"
"700","бочкала","bochkala"
"701","омбудсмен","ombudsmen"
"702","кіно","kino"
"703","фестиваль","festival"
"704","будинки","budinki"
"705","доходи","dohodi"
"706","відеолекції","videolektsiyi"
"707","міжнародні спостерігачі","mizhnarodni-sposterigachi"
"708","день виборів","den-viboriv"
"709","сіверінсен","siverinsen"
"710","марафон","marafon"
"711","северінсен","severinsen"
"712","результати виборів","rezultati-viboriv"
"713","гуртожиток","gurtozhitok"
"714","безпритульні тварини","bezpritulni-tvarini"
"715","собаки","sobaki"
"716","стерилізація","sterilizatsiya"
"717","засудили","zasudili"
"718","Олег Шевчук","shevchuk"
"719","Волченко","volchenko"
"720","білозерська","bilozerska"
"721","вибори 1994","vibori-1994"
"722","вибори 1998","vibori-1998"
"723","вибори 2002","vibori-2002"
"724","новіков","novikov"
"725","іщенко","ishhenko"
"726","Шапка","shapka"
"727","авер'янов","averyanov"
"728","рішення виконкому","rishennya-vikonkomu"
"729","суддя білик","suddya-bilik"
"730","суддя рябець","suddya-ryabets"
"731","суддя слива","suddya-sliva"
"732","апепляція","apeplyatsiya"
"733","черняховського","chernyahovskogo"
"734","вирубка дерев","virubka-derev"
"735","шипування дерев","shipuvannya-derev"
"736","скасування рішення","skasuvannya-rishennya"
"737","майданчик","maydanchik"
"738","спорт","sport"
"739","корт","kort"
"740","автостоянка","avtostoyanka"
"741","тенісний корт","tenisniy-kort"
"742","союз буд","soyuz-bud"
"743","пам'ть","pamt"
"744","жертви","zhertvi"
"745","1933","1933"
"746","1932","1932"
"747","геноцид","genotsid"
"748","радіопередавальний центр","radioperedavalniy-tsentr"
"749","мирова угода","mirova-ugoda"
"750","київська 225","kiyivska-225"
"751","радіобашти","radiobashti"
"752","чабур","chabur"
"753","супермаркет","supermarket"
"754","закон","zakon"
"756","карний розшук","karniy-rozshuk"
"757","барабаш","barabash"
"758","злочин","zlochin"
"759","маркування товарів","markuvannya-tovariv"
"760","порошенко","poroshenko"
"761","рошен","roshen"
"763","Кримінально-процесуальний кодекс","kriminalno-protsesualniy-kodeks"
"764","судово-медична експертиза","sudovo-medichna-ekspertiza"
"765","морг","morg"
"766","судмедекспертиза","sudmedekspertiza"
"767","кпк","kpk"
"768","розтин","roztin"
"769","довідка про смерть","dovidka-pro-smert"
"770","ялинка","yalinka"
"771","ремонтні роботи","remontni-roboti"
"772","реконструкція","rekonstruktsiya"
"773","проекти рішень","proekti-rishen"
"774","лещенко","leshhenko"
"775","українська правда","ukrayinska-pravda"
"776","інтерв'ю","intervyu"
"777","молодь за права людини","molod-za-prava-lyudini"
"778","освіта","osvita"
"779","повернення товару","povernennya-tovaru"
"780","якість товару","yakist-tovaru"
"781","верховна рада україни","verhovna-rada-ukrayini"
"782","народний депутат","narodniy-deputat"
"783","Лисенко","lisenko"
"784","людина року","lyudina-roku"
"787","Дорош","dorosh"
"788","Кісєльнікова","kisyelnikova"
"789","Рибакова","ribakova"
"790","Грушевського 3","grushevskogo-3"
"791","марченко","marchenko"
"792","опора","opora"
"793","грушевського 19","grushevskogo-19"
"794","дитяче кафе","dityache-kafe"
"795","службове житло","sluzhbove-zhitlo"
"796","позачергова сесія","pozachergova-sesiya"
"797","нападники","napadniki"
"798","перешкоджальники","pereshkodzhalniki"
"799","РДА","rda"
"800","церква","tserkva"
"801","храм","hram"
"802","КОДА","koda"
"803","звернення","zvernennya"
"804","лісова","lisova"
"806","ужкг","uzhkg"
"807","кп орц","kp-orts"
"808","радник міського голови","radnik-miskogo-golovi"
"809","положення","polozhennya"
"810","міський голова","miskiy-golova"
"811","ремонт взуття","remont-vzuttya"
"812","обмін взуття","obmin-vzuttya"
"813","фоп мохонько","fop-mohonko"
"814","перевізники","perevizniki"
"815","маршрут","marshrut"
"816","автобус","avtobus"
"817","громадські організації","gromadski-organizatsiyi"
"818","громадська організація","gromadska-organizatsiya"
"819","близнюк","bliznyuk"
"820","сінькова","sinkova"
"821","пугачова","pugachova"
"822","міхієнкова","mihiyenkova"
"823","кладовище","kladovishhe"
"824","цвинтар","tsvintar"
"825","броваригаз","brovarigaz"
"826","Чепура","chepura"
"828","бюджет міста 2013","byudzhet-mista-2013"
"832","озеро","ozero"
"833","купання","kupannya"
"834","парк приозерний","park-priozerniy"
"835","пекарня","pekarnya"
"836","СЕС","ses"
"837","бібліотека","biblioteka"
"841","Камелія","kameliya"
"842","дитсадок","ditsadok"
"843","садок","sadok"
"844","культура","kultura"
"845","1+1","1-1"
"846","сос-містечко","sos-mistechko"
"847","дитяча бібілотека","dityacha-bibiloteka"
"848","доросла бібліотека","dorosla-biblioteka"
"849","хаврюта","havryuta"
"850","сушко","sushko"
"851","степанова","stepanova"
"852","АТБ","atb"
"853","Перекресток","perekrestok"
"854","Форум","forum"
"855","право споживача","pravo-spozhivacha"
"856","обіцянка","obitsyanka"
"857","податкова","podatkova"
"858","розшук","rozshuk"
"859","грант","grant"
"860","тариф","tarif"
"861","тепловодоенергія","teplovodoenergiya"
"862","кварплата","kvarplata"
"863","внутрішньобудинкове обслуговування","vnutrishnobudinkove-obslugovuvannya"
"864","статистика","statistika"
"865","підсумки 2012","pidsumki-2012"
"866","дитячий садок","dityachiy-sadok"
"867","новорічно-різдвяні заходи","novorichno-rizdvyani-zahodi"
"868","новий рік","noviy-rik"
"869","управління ЖКГ","upravlinnya-zhkg"
"870","оголошення","ogoloshennya"
"871","реформа жкг","reforma-zhkg"
"872","швидка допомога","shvidka-dopomoga"
"873","калита","kalita"
"874","павличенки","pavlichenki"
"875","марш свободи","marsh-svobodi"
"876","футбольні фанати","futbolni-fanati"
"877","журналістика","zhurnalistika"
"878","громадянське суспільство","gromadyanske-suspilstvo"
"879","громада","gromada"
"880","бажання","bazhannya"
"881","2013 рік","2013-rik"
"882","пільги","pilgi"
"885","план","plan"
"889","марш","marsh"
"890","пільговий проїзд","pilgoviy-proyizd"
"891","витрати на безкоштовний проїзд","vitrati-na-bezkoshtovniy-proyizd"
